brc_bb RRTMG LUT interpolated from GADS (DAR 06/2015)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  693.5   00  1.5298 -7.034e-03  0.064  0.064    1.60  0.4293  1.324  0.110  0.946  0.490  1.000  1.470  1.223  0.616  0.291  0.121  0.054  0.022
  527.1   00  1.5300 -2.153e-02  0.064  0.064    1.60  0.8506  2.625  0.110  0.878  0.571  1.000  1.715  1.534  0.939  0.524  0.260  0.132  0.062
  399.8   00  1.5300 -3.334e-02  0.064  0.064    1.60  1.4320  4.418  0.110  0.845  0.638  1.000  1.915  1.877  1.348  0.866  0.506  0.291  0.158
  329.1   00  1.5300 -4.669e-02  0.064  0.064    1.60  1.8864  5.821  0.110  0.805  0.678  1.000  2.033  2.121  1.673  1.168  0.753  0.468  0.279
  229.8   00  1.5300 -7.978e-02  0.064  0.064    1.60  2.4903  7.684  0.110  0.713  0.735  1.000  2.203  2.521  2.264  1.800  1.343  0.952  0.660
 7082.2   00  1.4183 -6.622e-02  0.064  0.064    1.60  0.0138  0.043  0.110  0.005  0.014  1.000  0.040  0.501  0.008  0.000  0.000  0.000  0.000
  300.0   50  1.4450 -5.560e-02  0.064  0.079    1.60  2.1713  5.421  0.137  0.758  0.756  1.000  2.268  2.674  2.448  1.994  1.507  1.085  0.761
  400.0   50  1.4400 -3.330e-02  0.064  0.079    1.60  1.5336  3.829  0.137  0.830  0.705  1.000  2.115  2.303  1.882  1.371  0.915  0.589  0.366
  440.0   50  1.4392 -2.817e-02  0.064  0.079    1.60  1.3204  3.296  0.137  0.847  0.685  1.000  2.056  2.172  1.701  1.190  0.759  0.469  0.279
  500.0   50  1.4380 -2.240e-02  0.064  0.079    1.60  1.0515  2.625  0.137  0.867  0.656  1.000  1.968  1.995  1.466  0.968  0.579  0.340  0.191
  550.0   50  1.4370 -1.890e-02  0.064  0.079    1.60  0.8704  2.173  0.137  0.878  0.632  1.000  1.896  1.862  1.300  0.819  0.466  0.262  0.141
  600.0   50  1.4370 -3.180e-03  0.064  0.079    1.60  0.6914  1.726  0.137  0.976  0.606  1.000  1.819  1.741  1.153  0.697  0.377  0.205  0.105
  675.0   50  1.4357 -4.107e-03  0.064  0.079    1.60  0.5295  1.322  0.137  0.967  0.573  1.000  1.717  1.580  0.973  0.550  0.278  0.143  0.069
  800.0   50  1.4300 -5.300e-03  0.064  0.079    1.60  0.3444  0.860  0.137  0.947  0.517  1.000  1.551  1.360  0.746  0.379  0.172  0.081  0.036
  870.0   50  1.4290 -6.402e-03  0.064  0.079    1.60  0.2784  0.695  0.137  0.930  0.487  1.000  1.461  1.256  0.647  0.310  0.133  0.060  0.026
 1000.0   50  1.4290 -8.210e-03  0.064  0.079    1.60  0.1963  0.490  0.137  0.894  0.435  1.000  1.304  1.097  0.503  0.216  0.084  0.034  0.013
 1020.0   50  1.4284 -8.406e-03  0.064  0.079    1.60  0.1859  0.464  0.137  0.888  0.428  1.000  1.281  1.076  0.485  0.205  0.079  0.031  0.012
55555.6   50  1.7380 -3.700e-01  0.064  0.079    1.60  0.0148  0.037  0.137  0.000  0.001  1.000  0.003  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   50  1.7473 -3.071e-01  0.064  0.079    1.60  0.0182  0.045  0.137  0.000  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
