org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  693.5   00  1.5300 -7.000e-03  0.058  0.058    1.60  0.3384  1.938  0.101  0.941  0.460  1.000  1.380  1.129  0.528  0.235  0.091  0.039  0.015
  527.1   00  1.5300 -5.543e-03  0.058  0.058    1.60  0.6690  3.831  0.101  0.964  0.544  1.000  1.633  1.426  0.820  0.438  0.205  0.101  0.044
  399.8   00  1.5300 -5.000e-03  0.058  0.058    1.60  1.1833  6.776  0.101  0.972  0.610  1.000  1.830  1.751  1.187  0.734  0.404  0.224  0.114
  329.1   00  1.5300 -6.257e-03  0.058  0.058    1.60  1.6562  9.483  0.101  0.968  0.645  1.000  1.935  1.980  1.479  1.003  0.614  0.373  0.211
  229.8   00  1.5300 -3.000e-02  0.058  0.058    1.60  2.3112 13.234  0.101  0.865  0.695  1.000  2.086  2.308  1.943  1.466  1.025  0.688  0.447
 7082.2   00  1.4101 -6.377e-02  0.058  0.058    1.60  0.0122  0.070  0.101  0.004  0.011  1.000  0.033  0.500  0.006  0.000  0.000  0.000  0.000
  300.0   50  1.5121 -7.210e-03  0.058  0.060    1.60  1.8889 10.446  0.104  0.963  0.670  1.000  2.011  2.156  1.706  1.223  0.796  0.507  0.305
  400.0   50  1.5111 -4.500e-03  0.058  0.060    1.60  1.1897  6.579  0.104  0.975  0.622  1.000  1.866  1.820  1.265  0.800  0.452  0.256  0.134
  440.0   50  1.5109 -4.500e-03  0.058  0.060    1.60  0.9946  5.501  0.104  0.973  0.602  1.000  1.805  1.705  1.127  0.681  0.366  0.200  0.100
  500.0   50  1.5107 -4.500e-03  0.058  0.060    1.60  0.7559  4.180  0.104  0.971  0.570  1.000  1.711  1.547  0.947  0.533  0.266  0.136  0.064
  550.0   50  1.5105 -5.410e-03  0.058  0.060    1.60  0.6102  3.375  0.104  0.963  0.544  1.000  1.633  1.433  0.824  0.439  0.206  0.101  0.045
